"TASM D8X Assembler.    "
.MSFIRST
/***************************************************************************
/* Copyright 2008, 2012 Jon Hacker
/*
/* This program is free software: you can redistribute it and/or modify
/* it under the terms of the GNU General Public License as published by
/* the Free Software Foundation, either version 3 of the License, or
/* (at your option) any later version.
/*
/* This program is distributed in the hope that it will be useful,
/* but WITHOUT ANY WARRANTY; without even the implied warranty of
/* MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
/* GNU General Public License for more details.
/*
/* You should have received a copy of the GNU General Public License
/* along with this program.  If not, see <http://www.gnu.org/licenses/>.
/*
/* This is the instruction set definition table for the DENSO D8X processor.
/*
/* v2: Modified stx, [op.2] 0Ah to be 16 bit direct
/* v3: All bit functions use new DBIT and DREL rules with updated tasm32.exe
/* v4: Discard $ prefix for zero-page operands, st x and jsr use new D8ZERO rule with updated tasm32.exe
/*
/*INSTR ARGS OPCODE BYTES MOD CLASS SHIFT OR */
/*-------------------------------------------*/
ADD	A,B	08	1	NOP	1
ADD	A,#*	C0	2	NOP	1
ADD	A,$*	D0	2	NOP	1
ADD	A,X+*	E0	2	NOP	1
ADD	A,Y+*	E0	2	NOP	1	0	80
ADD	A,*	F0	3	MZERO	1
ADD	B,#*	C1	2	NOP	1
ADD	B,$*	D1	2	NOP	1
ADD	B,X+*	E1	2	NOP	1
ADD	B,Y+*	E1	2	NOP	1	0	80
ADD	B,*	F1	3	MZERO	1		
ADD	D,#*	87	3	SWAP	1		
ADD	D,$*	97	2	NOP	1		
ADD	D,X+*	A7	2	NOP	1		
ADD	D,Y+*	A7	2	NOP	1	0	80
ADD	D,*	B7	3	MZERO	1		
ADD	X,A	0C	1	NOP	1		
ADD	X,B	0E	1	NOP	1		
ADD	Y,A	0D	1	NOP	1		
ADD	Y,B	0F	1	NOP	1		
ADDC	A,#*	80	2	NOP	1		
ADDC	A,$*	90	2	NOP	1		
ADDC	A,X+*	A0	2	NOP	1		
ADDC	A,Y+*	A0	2	NOP	1	0	80
ADDC	A,*	B0	3	MZERO	1		
ADJ	A	5E	1	NOP	1		
AND	A,#*	C2	2	NOP	1		
AND	A,$*	D2	2	NOP	1		
AND	A,X+*	E2	2	NOP	1	 	 
AND	A,Y+*	E2	2	NOP	1	0	80
AND	A,*	F2	3	MZERO	1		
AND	B,#*	C3	2	NOP	1		
AND	B,$*	D3	2	NOP	1		
AND	B,X+*	E3	2	NOP	1
AND	B,Y+*	E3	2	NOP	1	0	80
AND	B,*	F3	3	MZERO	1		
BCC	*	44	2	R1	1		
BCS	*	45	2	R1	1		
BEQ	*	47	2	R1	1		
BGEA	*	4C	2	R1	1		
BGT	*	42	2	R1	1		
BGTA	*	4E	2	R1	1		
BLE	*	43	2	R1	1		
BLEA	*	4F	2	R1	1		
BLTA	*	4D	2	R1	1		
BMI	*	4B	2	R1	1		
BNE	*	46	2	R1	1		
BPZ	*	4A	2	R1	1		
BRA	*	40	2	R1	1		
BRN	#*	41	2	NOP	1
BRN	*	41	2	R1	1
BSR	*	61	2	R1	1
BVC	*	48	2	R1	1		
BVS	*	49	2	R1	1		
CLR	X+*	62	2	NOP	1
CLR	Y+*	62	2	NOP	1	0	80
CLR	A	52	1	NOP	1
CLR	B	53	1	NOP	1
CLR	*	72	2	NOP	1
CLRB	BIT0,*	75	2	DBIT	1	0	0
CLRB	BIT1,*	75	2	DBIT	1	0	20
CLRB	BIT2,*	75	2	DBIT	1	0	40
